"mode"	"variant"	"file"	"scope_kib"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"roundtrip"	"block_types"	"codec_sha256"	"package"
"stored"	"r2-stored"	"sao"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0496715"	"0.0380437"	"2.00390625"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"webster"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0422244"	"0.0370118"	"2.00390625"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"x-ray"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0484213"	"0.0379212"	"3.91796875"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"xml"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0653998"	"0.0384635"	"3.953125"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"zstd"	"r2-zstd"	"dickens"	"32"	"32768"	"13216"	"0.4033203125"	"3.2265625"	"0.0596351"	"0.0485965"	"4.4921875"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"mozilla"	"32"	"32768"	"9548"	"0.2913818359375"	"2.3310546875"	"0.0561472"	"0.0375896"	"2.00390625"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"mr"	"32"	"32768"	"7957"	"0.242828369140625"	"1.942626953125"	"0.0489822"	"0.0499911"	"4.02734375"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"nci"	"32"	"32768"	"2480"	"0.07568359375"	"0.60546875"	"0.0636406"	"0.0384602"	"4.5"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"ooffice"	"32"	"32768"	"13019"	"0.397308349609375"	"3.178466796875"	"0.0495177"	"0.0373472"	"4.3984375"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"osdb"	"32"	"32768"	"15144"	"0.462158203125"	"3.697265625"	"0.042501"	"0.0381541"	"2.00390625"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"reymont"	"32"	"32768"	"9108"	"0.2779541015625"	"2.2236328125"	"0.0644457"	"0.0528024"	"4.39453125"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"samba"	"32"	"32768"	"11027"	"0.336517333984375"	"2.692138671875"	"0.0523265"	"0.0353229"	"4.46875"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"sao"	"32"	"32768"	"24423"	"0.745330810546875"	"5.962646484375"	"0.0481489"	"0.0382976"	"3.8984375"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"webster"	"32"	"32768"	"12772"	"0.3897705078125"	"3.1181640625"	"0.0464343"	"0.0384846"	"4.25390625"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"x-ray"	"32"	"32768"	"22464"	"0.685546875"	"5.484375"	"0.0492307"	"0.0375004"	"4.5078125"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"zstd"	"r2-zstd"	"xml"	"32"	"32768"	"2713"	"0.082794189453125"	"0.662353515625"	"0.0489016"	"0.0522667"	"4.37890625"	"PASS"	"zstd=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-zstd-silesia-32k-20260821-d14"
"lzma"	"r2-lzma"	"dickens"	"32"	"32768"	"13027"	"0.397552490234375"	"3.180419921875"	"0.052686"	"0.0452219"	"2.00390625"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"mozilla"	"32"	"32768"	"8601"	"0.262481689453125"	"2.099853515625"	"0.0551149"	"0.0382998"	"4.54296875"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"mr"	"32"	"32768"	"6731"	"0.205413818359375"	"1.643310546875"	"0.049605"	"0.0486689"	"3.58984375"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"nci"	"32"	"32768"	"2495"	"0.076141357421875"	"0.609130859375"	"0.0485408"	"0.0374435"	"4.3515625"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"ooffice"	"32"	"32768"	"12372"	"0.3775634765625"	"3.0205078125"	"0.0482856"	"0.0380349"	"4.42578125"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"osdb"	"32"	"32768"	"14483"	"0.441986083984375"	"3.535888671875"	"0.0562652"	"0.0372872"	"4.546875"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"reymont"	"32"	"32768"	"8810"	"0.26885986328125"	"2.15087890625"	"0.0501556"	"0.0532359"	"4.44921875"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"samba"	"32"	"32768"	"10865"	"0.331573486328125"	"2.652587890625"	"0.0486694"	"0.0388345"	"4.44921875"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"sao"	"32"	"32768"	"22279"	"0.679901123046875"	"5.439208984375"	"0.046998"	"0.0362652"	"4.359375"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"webster"	"32"	"32768"	"12595"	"0.384368896484375"	"3.074951171875"	"0.0448215"	"0.0381711"	"2.00390625"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"x-ray"	"32"	"32768"	"18233"	"0.556427001953125"	"4.451416015625"	"0.0513324"	"0.0383171"	"4.55078125"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"lzma"	"r2-lzma"	"xml"	"32"	"32768"	"2614"	"0.07977294921875"	"0.63818359375"	"0.0470067"	"0.0365239"	"2.48046875"	"PASS"	"lzma=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lzma-silesia-32k-20260821-d15"
"fse"	"r2-fse"	"dickens"	"32"	"32768"	"19344"	"0.59033203125"	"4.72265625"	"0.0588471"	"0.0479884"	"4.00390625"	"PASS"	"fse=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-fse-silesia-32k-20260821-d17"
"fse"	"r2-fse"	"mozilla"	"32"	"32768"	"21274"	"0.64923095703125"	"5.19384765625"	"0.0373306"	"0.0376631"	"2.00390625"	"PASS"	"fse=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-fse-silesia-32k-20260821-d17"
"fse"	"r2-fse"	"mr"	"32"	"32768"	"12118"	"0.36981201171875"	"2.95849609375"	"0.0420372"	"0.0366362"	"2.00390625"	"PASS"	"fse=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-fse-silesia-32k-20260821-d17"
"fse"	"r2-fse"	"nci"	"32"	"32768"	"10000"	"0.30517578125"	"2.44140625"	"0.0488355"	"0.0354939"	"3.61328125"	"PASS"	"fse=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-fse-silesia-32k-20260821-d17"
"fse"	"r2-fse"	"ooffice"	"32"	"32768"	"25182"	"0.76849365234375"	"6.14794921875"	"0.0492743"	"0.0379212"	"4.00390625"	"PASS"	"fse=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-fse-silesia-32k-20260821-d17"
