"mode"	"mode_name"	"status"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"evidence_path"
"33"	"Paq8pxLinearPrediction"	"PASS"	"1024"	"1106"	"8.640625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-linear-prediction-1k-20260826\verification.json"
"34"	"Paq8pxSimilarity"	"PASS"	"1024"	"1084"	"8.46875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-similarity-1k-20260826\verification.json"
"35"	"Paq8pxSimilaritySse"	"PASS"	"1024"	"1086"	"8.484375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-similarity-sse-1k-20260826\verification.json"
"36"	"Paq8pxGenericSse"	"PASS"	"1024"	"1088"	"8.5"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-generic-sse-1k-20260826\verification.json"
"37"	"Paq8pxDetectedSse"	"PASS"	"1024"	"1110"	"8.671875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-detected-sse-1k-20260826\verification.json"
"38"	"Wavpack"	"PASS"	"1024"	"1289"	"10.070312"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-wavpack-1k-20260826\verification.json"
"39"	"Lz4"	"PASS"	"1024"	"1113"	"8.695312"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-lz4-1k-20260826\verification.json"
"40"	"KanziAns"	"PASS"	"1024"	"1322"	"10.328125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-kanzi-1k-20260826\verification.json"
"41"	"LmicArithmetic"	"PASS"	"1024"	"1768"	"13.8125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-1k-20260826\verification.json"
"42"	"DeltaBinaryPackedZstd"	"PASS"	"1024"	"1131"	"8.835938"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-1k-20260826\verification.json"
