"stage","block_size_kib","file","scope_kib","input_sha256","ranker_version","ranker_crc32","ranker_sha256","policy","reference_kind","full_auto_archive_bytes","shortlist_archive_bytes","regret_vs_full_auto_bytes","full_auto_selected_modes","shortlist_candidate_modes","full_auto_selected_mode_covered","tie_aware_winner_recall_available","candidates_evaluated","encode_seconds","decode_seconds","peak_ram_mib","roundtrip"
"e5-router","64","x-ray","64","B5A07146616BCD7C2D10071D41E07D204DE0AC629C4CA37D8E867FF00574D0D8","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","29135","29135","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","83.3902984","38.7407574","547.47265625","PASS"
"e5-router","64","x-ray","64","B5A07146616BCD7C2D10071D41E07D204DE0AC629C4CA37D8E867FF00574D0D8","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","29135","29135","0","paq8px-generic-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","83.6390849","38.771103","547.47265625","PASS"
"e5-router","64","xml","128","5FA29C746885F2EEB98734218475915A78092CCB3B0F68B08861EE210E5B6E25","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","4770","4770","0","paq8px-generic-sse=2","0:2,36:2","True","False","4","48.7660672","48.8487002","544.33984375","PASS"
"e5-router","64","xml","128","5FA29C746885F2EEB98734218475915A78092CCB3B0F68B08861EE210E5B6E25","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","4770","4770","0","paq8px-generic-sse=2","0:2,2:2,36:2,37:2","True","False","8","93.7861065","48.9578125","544.5234375","PASS"
"e5-router","64","xml","128","5FA29C746885F2EEB98734218475915A78092CCB3B0F68B08861EE210E5B6E25","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","4770","4770","0","paq8px-generic-sse=2","0:2,2:2,4:2,6:2,19:2,28:2,36:2,37:2","True","False","16","94.1612375","48.8589687","545.1875","PASS"
"e5-router","64","xml","32","C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","1441","1441","0","paq8px-generic-sse=1","0:1,36:1","True","False","2","8.9311436","8.8364382","542.84375","PASS"
"e5-router","64","xml","32","C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","1441","1441","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","22.7263153","8.8400751","543.02734375","PASS"
"e5-router","64","xml","32","C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","1441","1441","0","paq8px-generic-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","22.8938485","8.7157964","542.90625","PASS"
"e5-router","64","xml","64","E32AFF2BEBF00105A17DD57F5490C1986D17543CEE837B42EB56B3E0E6F8E7F1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","2272","2272","0","paq8px-generic-sse=1","0:1,36:1","True","False","2","21.6804966","21.5878572","543.86328125","PASS"
"e5-router","64","xml","64","E32AFF2BEBF00105A17DD57F5490C1986D17543CEE837B42EB56B3E0E6F8E7F1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","2272","2272","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","48.3103224","21.5624057","543.9921875","PASS"
"e5-router","64","xml","64","E32AFF2BEBF00105A17DD57F5490C1986D17543CEE837B42EB56B3E0E6F8E7F1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","2272","2272","0","paq8px-generic-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","48.604624","21.5827973","543.87109375","PASS"
"e5-router","128","dickens","128","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","33028","33381","353","paq8px-detected-sse=1","0:1,36:1","False","False","2","62.1346282","61.6175699","547.171875","PASS"
"e5-router","128","dickens","128","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","33028","33028","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","139.269204","42.2535446","547.12890625","PASS"
"e5-router","128","dickens","128","20E33FCC8FAA96DC32A2D0921115C0F363E64C598A5847CE1A3876E356D59872","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","33028","33028","0","paq8px-detected-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","138.0812502","42.7773954","547.18359375","PASS"
"e5-router","128","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","9598","9688","90","paq8px-detected-sse=1","0:1,36:1","False","False","2","16.7969796","18.2744659","546.390625","PASS"
"e5-router","128","dickens","32","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","9598","9598","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","32.6241587","7.1953534","546.40625","PASS"
